label,ok,error,mel,mel_fraction,pre_ratio_med,pre_ratio_p90,pre_dmin_med,post_ratio_med,post_ratio_p90,post_dmin_med,post_fallback_frac,force_fallback_events,n_nodes_out,n_edges_out,n_terminals,n_branches,nodes_outside,total_length
nr12_ss0.1_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.480165401497896,14.4268617794276,26.788395600028757,0.0,0.0,13.0,13.0,2.0,2.0,0.0,666.6963212500901
nr12_ss0.1_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.285874537333383,11.29508740363577,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,669.2213640595486
nr12_ss0.1_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.189099758056597,9.97428449105164,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,676.1092946420234
nr12_ss0.25_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.094920440347604,8.127808520060142,26.38810936325648,0.0,0.0,14.0,14.0,2.0,2.0,0.0,693.0599769799593
nr12_ss0.25_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.9164816186811535,8.000626839813112,29.013501649266132,0.0,0.0,15.0,15.0,2.0,2.0,0.0,699.3776006067492
nr12_ss0.25_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.013249256929341,8.18020351829564,26.348554915734873,0.0,0.0,14.0,14.0,2.0,2.0,0.0,692.4316416338806
nr12_ss0.25_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.9010919180531562,7.955233404266042,28.896753492078304,0.0,0.0,15.0,15.0,2.0,2.0,0.0,696.3356770433734
nr12_ss0.5_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.8067151807899995,6.521625592875747,35.16243528955721,0.0,0.0,14.0,14.0,2.0,2.0,0.0,689.8026773416337
nr12_ss0.5_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.561849040958199,6.607347640340821,38.743996075092205,0.0,0.0,15.0,15.0,2.0,2.0,0.0,678.6811876160399
nr12_ss0.5_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.850135161018457,6.562362593501367,34.73635164353374,0.0,0.0,14.0,14.0,2.0,2.0,0.0,684.5564191400545
nr12_ss0.5_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.609977636943442,6.640088180145318,38.569017321331124,0.0,0.0,15.0,15.0,2.0,2.0,0.0,682.0966707394678
nr24_ss0.1_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.656087779504603,12.256114596643178,26.991783313505575,0.0,0.0,13.0,13.0,2.0,2.0,0.0,668.9271712567606
nr24_ss0.1_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.505481758993117,11.07996490391327,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,678.9330613972555
nr24_ss0.1_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.624220864390326,12.26163082796353,26.899747227193426,0.0,0.0,13.0,13.0,2.0,2.0,0.0,668.4553991475736
nr24_ss0.1_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.609501407831278,10.993944741076001,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,679.14299872313
nr24_ss0.25_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.293048152261746,9.101285565099069,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,683.0133241783957
nr24_ss0.25_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.070724322095658,9.086825115508958,27.87598480182712,0.0,0.0,13.0,13.0,2.0,2.0,0.0,689.0810698020883
nr24_ss0.25_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.065905451882818,8.633657439698318,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,695.6921625131303
nr24_ss0.25_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.053077054841129,8.627907898817723,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,701.6704976149603
nr24_ss0.5_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.7478264829385903,6.519170149917354,35.98064795490751,0.0,0.0,13.0,13.0,2.0,2.0,0.0,689.808417993286
nr24_ss0.5_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.6246189638783024,6.508885539091417,38.35216753359652,0.0,0.0,13.0,13.0,2.0,2.0,0.0,682.9468873449589
nr24_ss0.5_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.7416962201189548,6.532981010745469,34.718063012424075,0.0,0.0,13.0,13.0,2.0,2.0,0.0,686.595344096875
nr24_ss0.5_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.4232187270054126,6.2019094785601325,39.1045803847846,0.0,0.0,14.0,14.0,2.0,2.0,0.0,686.5064189057928
sdf_k1.0,True,,75.83935730292609,0.12294702005583996,6.08637217179916,130.9024978684714,17.575052270977277,4.02834485830055,8.270974661280402,29.057682896956724,0.0,0.0,15.0,15.0,2.0,2.0,0.0,689.7482814293661
sdf_k1.5,True,,113.75903595438913,0.18442053008375994,5.308913225271408,12.576256716094088,21.245037506500264,3.60321640667133,4.532292231773658,32.1857531529713,0.0,0.0,14.0,14.0,2.0,2.0,0.0,697.5024779058803
sdf_k2.0,True,,151.67871460585218,0.24589404011167992,6.161385751938776,42.15781700418841,17.290990442868402,3.7723786869803497,5.920194309464989,32.74345550463538,0.0,0.0,16.0,16.0,2.0,2.0,0.0,697.7211318577778
sdf_k2.5,True,,189.59839325731522,0.3073675501395999,6.161385751938776,42.15781700418841,17.290990442868402,3.7408459600263058,5.889278449598807,32.38226194948122,0.0,0.0,16.0,16.0,2.0,2.0,0.0,696.4288887806996
sdf_k3.0,True,,227.51807190877827,0.3688410601675199,6.161385751938776,42.15781700418841,17.290990442868402,3.7525727881379196,5.926190966789296,32.77545914241708,0.0,0.0,16.0,16.0,2.0,2.0,0.0,696.2398952708487
sdf_k3.5,True,,265.4377505602413,0.43031457019543984,6.161385751938776,42.15781700418841,17.290990442868402,3.752014211306578,5.900647567776668,32.083625795293244,0.0,0.0,16.0,16.0,2.0,2.0,0.0,697.9880579241635
move_terminals,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.8084856172715567,8.26647050656846,30.206779292308994,0.0,0.0,12.0,12.0,2.0,2.0,0.0,627.8951382611625
